ThreadCount,ClientCount,Reading1,Reading2,Reading3,Reading4,Reading5,Reading6,Reading7,Reading8,Reading9,Reading10
1,2,31,25,52,51,52,52,51,52,51,52
1,5,237,158,202,53,68,72,52,78,155,73
1,10,3326,1730,1334,2035,1868,2090,1858,1741,1579,1831
1,15,3598,3848,3013,3524,4018,3422,3722,3798,3311,2965
2,2,50,51,51,51,50,52,51,50,50,51
2,5,51,67,51,108,52,98,90,54,60,51
2,10,804,1032,768,1591,1160,1256,1550,737,1143,504
2,15,2154,2560,1909,2807,2172,2628,2914,3514,2176,1721
3,2,51,50,51,50,51,51,52,51,51,51
3,5,52,63,52,51,71,52,121,51,69,60
3,10,423,416,888,922,433,666,1296,548,554,568
3,15,1120,1416,1114,1849,1643,2979,2480,2386,1231,1338
5,2,51,50,51,51,50,52,52,50,51,52
5,5,51,51,52,128,65,50,51,52,54,59
5,10,504,236,707,475,952,292,522,500,361,494
5,15,2233,992,1439,1810,1366,923,701,950,1973,1592
7,2,50,51,51,51,51,49,51,51,51,52
7,5,77,53,51,73,89,62,56,50,57,51
7,10,376,326,270,323,423,502,529,683,293,378
7,15,603,1077,795,701,706,1010,1293,956,1449,873
